Actor,Degree,DegreeCentrality,Closeness,PageRank,Betweenness
Abdramane Diakité,0.02564102564102564,0.0001921071408968659,0.5920087511109808,0.05590478835040318,0.0
Rafael Ferro,0.06593406593406594,0.0004939897908776552,0.6048546837969315,0.09452868546372079,0.007727892044091031
Soo-hyun Hong,0.02197802197802198,0.00016466326362588507,0.0006706025929753034,0.06486223777538992,0.0
P.K. Nair,0.0,0.0,0.0,0.0,0.0
Omono Okojie,0.02564102564102564,0.0001921071408968659,0.6563615001867924,0.051204532400465165,0.0
Shreya Chawla,0.02564102564102564,0.0001921071408968659,0.5463698682615299,0.05314387986098295,0.0
Mariusz Kałamaga,0.007326007326007326,5.4887754541961686e-05,0.00022353419765843444,0.06486223777538995,0.0
Dane Cook,0.12454212454212454,0.0009330918272133486,0.8431023451192031,0.0932239333349761,0.0012184530447186326
Ririka,0.06593406593406594,0.0004939897908776552,0.5910389547072301,0.06308897031428198,0.0
Radha Bessy,0.02564102564102564,0.0001921071408968659,0.47781360114144267,0.059959062568279826,0.0
Ali Rabee,0.03296703296703297,0.0002469948954388276,0.5109607805947187,0.037714208185968746,0.0
Sakura Tange,0.1575091575091575,0.0011800867226521763,0.6601214299327506,0.07003670090862682,6.344499078605926e-05
Valerie Chow,0.02197802197802198,0.00016466326362588507,0.5424217204936149,0.05948666001071922,0.0
Duncan Trussell,0.05860805860805861,0.0004391020363356935,0.7816269818242776,0.0444112693200112,0.0
Shaina Magdayao,0.16117216117216118,0.001207530599923157,0.5483048087708506,0.18108561877375903,0.0023059082760226194
Maureen Mueller,0.040293040293040296,0.00030188264998078925,0.7923709426513457,0.03958745862358468,0.0
Presciliana Esparolini,0.029304029304029304,0.00021955101816784674,0.7447215004023762,0.030157974136478808,0.0
Robert Pine,0.047619047619047616,0.000356770404522751,0.7988033895177975,0.0402135635292855,0.0
John Lutz,0.047619047619047616,0.000356770404522751,0.8143978072768311,0.03219164407725053,0.0
Naruna Costa,0.02197802197802198,0.00016466326362588507,0.5735237067945915,0.03169827577420758,0.0
Ciara Nadine Brosnan,0.03296703296703297,0.0002469948954388276,0.4032599294790766,0.061626518682506265,0.0
Emilyn Johnson-Ekpo,0.03296703296703297,0.0002469948954388276,0.5958789642358585,0.034375459270416894,0.0
Katrin Pollitt,0.0695970695970696,0.000521433668148636,0.7978990877617912,0.09079031952431861,0.010062629007457661
Anja Kling,0.02197802197802198,0.00016466326362588507,0.5861663805816792,0.048791290202131965,0.0
Mick Rock,0.0,0.0,0.0,0.0,0.0
James Wen,0.14652014652014653,0.0010977550908392337,0.625683215227635,0.261656166187288,0.01815493129899343
Natasha Richardson,0.03296703296703297,0.0002469948954388276,0.7644740410021629,0.033280883956896185,0.0
On Ju-wan,0.029304029304029304,0.00021955101816784674,0.5778127308691403,0.04191615693006912,0.0
Claudio Bisio,0.040293040293040296,0.00030188264998078925,0.6344624016077708,0.06060614798958136,0.0
Jodie Leslie Ahlborn,0.03296703296703297,0.0002469948954388276,0.6617248908296943,0.055872874857513896,0.0
Dan Blasko,0.03296703296703297,0.0002469948954388276,0.7674066759088692,0.04025161396184163,0.0
Sibulele Gcilitshana,0.11355311355311355,0.0008507601954004061,0.7752538817691147,0.15563465507416765,0.021875583388466405
Demetri Martin,0.07326007326007326,0.0005488775454196168,0.8307099833485229,0.051671852069312504,0.0003086714733600379
George Bush Sr.,0.03296703296703297,0.0002469948954388276,0.6871050200359342,0.053887221964288995,0.0
Rishi Bhutani,0.02564102564102564,0.0001921071408968659,0.6544304207469148,0.031053292890527,0.0
Jill Schirnhofer,0.029304029304029304,0.00021955101816784674,0.0008941367906337378,0.06844351737762047,0.0
Adeline Rudolph,0.047619047619047616,0.000356770404522751,0.7658794839720505,0.04299676959891041,0.0
Martín Altomaro,0.08791208791208792,0.0006586530545035403,0.6433002382632781,0.09310381529221565,0.0006708673627043132
Aida Cabiyeva,0.06227106227106227,0.0004665459136066743,0.5145107759169504,0.06162437680599879,0.0
Rahim Razali,0.03663003663003663,0.0002744387727098084,0.45745551970717524,0.09306817211969476,0.00011148007091588668
Leonardo DiCaprio,0.29304029304029305,0.0021955101816784673,0.9325517708237177,0.20916279834683635,0.0176251825537044
Simran Jehani,0.040293040293040296,0.00030188264998078925,0.6237708840373146,0.04794494177058694,0.0
Anil Datt,0.007326007326007326,5.4887754541961686e-05,0.5757682260745666,0.013919802622432316,0.0
Im Won-hee,0.054945054945054944,0.00041165815906471265,0.5659068523333597,0.08087781018446118,0.005713096026371812
Trevor Noah,0.0,0.0,0.0,0.0,0.0
Issa Doumbia,0.08424908424908426,0.0006312091772325593,0.6697272541447756,0.06099051743694166,0.0
John Charles Njie,0.02564102564102564,0.0001921071408968659,0.6310408728423594,0.04723663357522327,0.0
Alan Powell,0.054945054945054944,0.00041165815906471265,0.7196120216308625,0.0993738338726078,0.009258498179466761
Miguel Herrán,0.10622710622710622,0.0007958724408584445,0.6902033124384397,0.10046810060593726,0.001833237268643573
Eric Nelsen,0.04395604395604396,0.00032932652725177014,0.7178776573695742,0.07061825710581107,0.0009896353690054425
Rhea Seehorn,0.08424908424908426,0.0006312091772325593,0.8694043230683169,0.07395411141879829,0.019277236289246213
Claudie Blakley,0.03296703296703297,0.0002469948954388276,0.7702346385752679,0.030464083046549448,0.0
Soichi Hirama,0.02197802197802198,0.00016466326362588507,0.5436379454155716,0.03921944273282002,0.0
Yuuki Kuwahara,0.047619047619047616,0.000356770404522751,0.8058657732397361,0.028747901856423095,0.0
Kenji Nomura,0.04395604395604396,0.00032932652725177014,0.6082292675339791,0.02620702526695025,0.0
Susan Sullivan,0.047619047619047616,0.000356770404522751,0.7978675793076214,0.03582138233581362,0.0
Sascha Alexander Gersak,0.03296703296703297,0.0002469948954388276,0.6792816518645112,0.046115231268098564,0.0
Nasim Pedrad,0.05860805860805861,0.0004391020363356935,0.8229280511563812,0.040208089107791556,0.000178536390995221
Federico Rivera,0.15018315018315018,0.0011251989681102146,0.8319185292442407,0.07765392102939858,0.0
Hirofumi Nojima,0.23076923076923078,0.001728964268071793,0.6896457564155805,0.0896384558005116,0.00011944385585343124
Shrijato Banerjee,0.02197802197802198,0.00016466326362588507,0.6200635264872716,0.025610373987799917,0.0
Rob Rackstraw,0.10989010989010989,0.0008233163181294253,0.7875783660873801,0.19915466820276828,0.0027243096945493055
Larry Wilmore,0.16483516483516483,0.001234974477194138,0.897320503330866,0.09176316046009224,0.0010273090622702444
Achint Kaur,0.02564102564102564,0.0001921071408968659,0.6456918545504902,0.04554015279004898,0.0
Chris Collins,0.03296703296703297,0.0002469948954388276,0.7296562018489985,0.03962529444334404,0.0
Leonardo Medeiros,0.07326007326007326,0.0005488775454196168,0.6492676003534797,0.11792622198745652,0.0056501572647174175
Nikhil Ratnaparkhi,0.029304029304029304,0.00021955101816784674,0.6220616684027688,0.05157279348257474,0.0
Bridgette Wilson-Sampras,0.03296703296703297,0.0002469948954388276,0.7102606617022398,0.04304720609529091,0.0
Nicole Theriault,0.08058608058608059,0.0006037652999615785,0.509909818964937,0.1040017553661955,0.00094339032825428
Astrid Whettnall,0.03663003663003663,0.0002744387727098084,0.724523520657897,0.04973899442536524,0.0
Anthony Brandon Wong,0.03296703296703297,0.0002469948954388276,0.8216507841834867,0.025896914541559048,0.0
Sudipto Chattopadhyay,0.02197802197802198,0.00016466326362588507,0.6159208226639028,0.03885852653744394,0.0
