id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,Community,country,genres_list
Thrillers,18,0.3831417624521073,0.02204567000079518,0.04344176855078661,0.4146341463414634,0.6575731121780883,0.39115566843724986,0.1370467709822018,5,,"Anurag Kashyap, Ben Wheatley, Brian De Palma, Clint Eastwood, David Pastor, Eli Roth, Jalil Lespert, Jane Campion, Jeremy Saulnier, Martin Scorsese, Mike Newell, Peter Chelsom, Priyadarshan, Quentin Tarantino, Ron Howard, Sion Sono, Yorgos Lanthimos, Àlex Pastor"
Hong Won-ki,3,0.29411764705882354,0.006761971844640949,0.0034323091181386696,0.04878048780487805,0.35257818317200307,0.07993171892465134,0.010827986459707702,1,South Korea,"International TV Shows, TV Horror, TV Mysteries"
Jalil Lespert,7,0.43478260869565216,0.009600155509697214,0.022366298848319213,0.14634146341463414,0.8344936708860761,0.13772602503146708,0.07055949005394682,4,France,"Crime TV Shows, Docuseries, Dramas, Independent Movies, International Movies, International TV Shows, Thrillers"
Gerardo Olivares,6,0.4065040650406504,0.007810386811539864,0.005828683620060563,0.12195121951219512,0.7376119172584131,0.10128073036106301,0.01838788557312745,5,Spain,"Comedies, Documentaries, Dramas, Independent Movies, International Movies, Romantic Movies"
Romantic Movies,23,0.3952569169960474,0.02784359798094405,0.03103574405311352,0.5365853658536586,0.6990794016110473,0.5092196361062882,0.09790919314292659,0,,"Adam Shankman, Anurag Kashyap, Ashutosh Gowariker, Ben Wheatley, Bruno Garotti, Fernando Ayllón, Gerardo Olivares, Guillermo del Toro, Jane Campion, Jun Lana, Justin G. Dyck, Kim Nguyen, Lasse Hallström, Mateo Gil, Mike Newell, Navaniat Singh, Noah Baumbach, Peter Chelsom, Priyadarshan, Scott Hicks, Sean Cisterna, Yorgos Lanthimos, Youssef Chahine"
TV Comedies,1,0.3003003003003003,0.0028549671626034445,0.0,0.0,0.3737598357851523,0.0003728703080092682,0.0,4,,Patricia Font
Science & Nature TV,1,0.22779043280182232,0.003545159892262768,0.0,0.0,0.12534240650500275,0.014427355358341231,0.0,4,,Estela Renner
Priyadarshan,8,0.4132231404958678,0.010112840399689172,0.012713021236537312,0.17073170731707318,0.7606313421906059,0.1481658946682853,0.04010606768595864,0,United Kingdom,"Action & Adventure, Comedies, Dramas, International Movies, Music & Musicals, Romantic Movies, TV Shows, Thrillers"
International TV Shows,17,0.40160642570281124,0.02694322070867247,0.14943813434774525,0.3902439024390244,0.7208326978801283,0.49088513565589115,0.4714360040388391,4,,"Alastair Fothergill, Anurag Kashyap, Cosima Spender, Estela Renner, Hong Won-ki, Jalil Lespert, Jung-ah Im, Justin Webster, Masaaki Yuasa, Mateo Gil, Noam Murro, Patricia Font, Seung-uk Jo, Sion Sono, Tensai Okamura, Tsutomu Mizushima, Vikramaditya Motwane"
Navaniat Singh,6,0.3968253968253968,0.007691775846196704,0.004580247447078931,0.12195121951219512,0.7044529837251357,0.09886543972181835,0.014449414557968653,0,Canada,"Action & Adventure, Comedies, Dramas, International Movies, Music & Musicals, Romantic Movies"
Anime Series,3,0.303951367781155,0.005550444416791273,0.00048377175309229276,0.04878048780487805,0.3862683236504944,0.05526122705901686,0.0015261661498930212,1,,"Masaaki Yuasa, Tensai Okamura, Tsutomu Mizushima"
Eli Roth,6,0.3333333333333333,0.011253440700051139,0.02648952373249723,0.12195121951219512,0.48693037974683545,0.17139208813710674,0.08356712476268219,1,United States,"Horror Movies, Independent Movies, TV Horror, TV Mysteries, TV Thrillers, Thrillers"
Estela Renner,3,0.29411764705882354,0.007271008315133472,0.0101807488189199,0.04878048780487805,0.35257818317200307,0.09029729531683128,0.03211744821536676,4,Brazil,"Docuseries, International TV Shows, Science & Nature TV"
Korean TV Shows,2,0.22675736961451248,0.005961591757096799,0.0,0.024390243902439025,0.12180315164040308,0.06363347425823031,0.0,4,,"Jung-ah Im, Seung-uk Jo"
Docuseries,6,0.3257328990228013,0.010058752255107365,0.013124891041266608,0.12195121951219512,0.4608914361109966,0.14706449068826882,0.04140540306493225,4,,"Alastair Fothergill, Cosima Spender, Estela Renner, Jalil Lespert, Joe Berlinger, Justin Webster"
Sports Movies,9,0.3412969283276451,0.012364326678624223,0.012420662516143845,0.1951219512195122,0.5142135049898476,0.19401320497527635,0.03918375674109985,0,,"Clay Glen, Clint Eastwood, Cosima Spender, Luis Ara, Martin Scorsese, Raphael Erichsen, Robert Vince, Rohit Jugraj, Sean Cisterna"
TV Mysteries,2,0.273972602739726,0.00499506243051977,0.00167191249232576,0.024390243902439025,0.28356164383561644,0.04395191085232582,0.005274421739303286,1,,"Eli Roth, Hong Won-ki"
Robert Altman,5,0.3875968992248062,0.0066819053791341764,0.0031548844893787894,0.0975609756097561,0.6728363261701503,0.07830131498942981,0.009952788445657484,0,"Italy, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, International Movies"
Independent Movies,21,0.411522633744856,0.026166495551256632,0.0667138337843914,0.4878048780487805,0.7548054383497423,0.475068579433246,0.2104637035968144,5,,"Ben Wheatley, David Pastor, Eli Roth, Gerardo Olivares, Jalil Lespert, Jane Campion, Jeremy Saulnier, Joe Berlinger, Jun Lana, Kim Nguyen, Lasse Hallström, Maroun Baghdadi, Martin Scorsese, McG, Noah Baumbach, Noam Murro, Philippe Aractingi, Vikramaditya Motwane, Yorgos Lanthimos, Youssef Chahine, Àlex Pastor"
Movies,1,0.19120458891013384,0.005250103556465152,0.0,0.0,0.0,0.049145346740282043,0.0,3,,Thomas Astruc
Bruno Garotti,4,0.37593984962406013,0.0056732403413511006,0.0022900522774122268,0.07317073170731707,0.6328994955743791,0.057761736571511506,0.007224481886203049,0,Brazil,"Children & Family Movies, Comedies, International Movies, Romantic Movies"
