Actor,Community_Louvain
Javed Sheikh,0
Yukari Tamura,1
Mark Ruffalo,5
Hugh Jackman,2
Colin O'Donoghue,4
Cam Gigandet,5
Joke Silva,3
Sam Vincent,4
Margaret Cho,5
Ali Nuhu,3
Jennifer Ehle,5
Hiroaki Hirata,1
Haruka Tomatsu,1
J.B. Smoove,2
Carmen Machi,7
Daniel Kaluuya,6
Kikuko Inoue,1
Junko Takeuchi,1
Hisao Egawa,1
Jide Kosoko,3
Sylvester Stallone,4
Joel McHale,5
Manisha Koirala,0
Taylor Kitsch,5
Leonardo DiCaprio,5
Philip Baker Hall,5
Hugh Bonneville,6
Tom Hiddleston,5
Emily Mortimer,5
Rashida Jones,5
Brittany Snow,5
Andrew Bachelor,5
Sharon Stone,5
Hayley Atwell,6
Grey DeLisle,4
Johnny Lever,0
Segun Arinze,3
Pankaj Tripathi,0
Jack Black,4
Vidya Balan,0
Lochlyn Munro,5
Michelle Yeoh,4
Lucy Liu,4
Jennifer Aniston,5
Marc Maron,5
Matthew Goode,6
Brandon Routh,5
Amy Sedaris,5
Callan Mulvey,4
Jeff Garlin,5
Pedro Casablanc,7
Peter Mullan,5
Juhi Chawla,0
Sissy Spacek,5
Sahajak Boonthanakit,4
Showtaro Morikubo,1
Eric Lange,7
Nao Toyama,1
Erica Lindbeck,4
Tom Hanks,5
Bill Hader,5
Aunjanue Ellis,5
Fred Willard,5
Nicole Oliver,4
Jamie Bell,2
Mindy Sterling,4
Judi Dench,5
Josh Charles,5
Robert Downey Jr.,5
Victor Garber,5
Vincent D'Onofrio,5
Urzila Carlson,5
Chinatsu Akasaki,1
Dalip Tahil,0
Rich Sommer,5
Alok Nath,0
Ashley Jensen,6
Atul Kulkarni,0
AnnaSophia Robb,5
Annabeth Gish,5
Erin Fitzgerald,1
Terence Stamp,5
RZA,5
Walton Goggins,5
Colm Feore,5
Michael Kenneth Williams,5
Lisa Kudrow,5
Sheeba Chaddha,0
Frank Langella,5
Jared Harris,5
Juan Pablo Raba,7
Taissa Farmiga,5
Abhay Deol,0
Raúl Méndez,7
Bridget Everett,5
Ben Whishaw,6
Carmen Electra,5
Tusshar Kapoor,0
Tom Wilkinson,6
Alicia Vikander,6
Jeff Bridges,5
Taylor Lautner,5
James Norton,6
David Cross,4
Hisako Kanemoto,1
Kyle Bornheimer,4
Marina Inoue,1
Ryota Osaka,1
Harold Perrineau,5
Rahul Bose,0
Hidekatsu Shibata,1
Jake Gyllenhaal,5
Teresa Palmer,5
Nolan North,4
Satish Shah,0
Donnie Yen,4
Kate Higgins,1
Arcelia Ramírez,7
Madeline Brewer,6
Mick Wingert,4
Christopher Plummer,5
Paul Reubens,5
Kurt Russell,5
Martin Sheen,5
Reina Ueda,1
Simon Pegg,6
Wes Bentley,5
Tom Sizemore,5
Tig Notaro,5
Daryl Sabara,5
Keanu Reeves,5
Polly Walker,5
Oscar Nuñez,5
Alex Dimitriades,4
Hrithik Roshan,0
Daveed Diggs,5
Sarah Jessica Parker,5
Sarah Gadon,5
Hugo Silva,7
Toby Huss,5
Kazuhiro Yamaji,1
Cezmi Baskın,6
Sam Worthington,5
Paulina García,7
Kathryn Bernardo,-1
Hideyuki Tanaka,1
Brijendra Kala,0
B.J. Novak,5
Bob Odenkirk,4
Camryn Manheim,4
Crispin Glover,5
Neha Dhupia,0
Yoko Soumi,1
Ed Begley Jr.,5
Christian Bale,5
Taye Diggs,5
Willa Fitzgerald,4
Wendy Crewson,5
Vivica A. Fox,4
Selma Blair,5
Kevin Costner,5
Álvaro Cervantes,7
Kat Graham,5
Raj Babbar,0
Kristen Schaal,5
Eugenio Derbez,5
Anjelica Huston,4
Jonathan Pryce,5
Ginnifer Goodwin,4
Lynn Collins,5
James McAvoy,6
Courteney Cox,5
Kunal Kapoor,0
Daiki Yamashita,1
Josh Lucas,5
Kenan Thompson,5
Cedric the Entertainer,5
Jeremy Renner,5
Gillian Jacobs,5
Tommy Lee Jones,5
Marcia Gay Harden,5
Dakota Fanning,5
Bill Murray,5
Taraji P. Henson,5
Ming-Na Wen,5
Kyle Breitkopf,5
Ólafur Darri Ólafsson,5
Lili Taylor,5
Manu Rishi Chadha,0
Sonam Kapoor,0
Daniel Rigby,6
Alexx Ekubo,3
Ludacris,5
Jude Law,5
Ashton Kutcher,5
Cody Cameron,6
Vivek Oberoi,0
Maggie Smith,6
Macarena García,7
Scott Adkins,4
Christopher Walken,5
Shannon Chan-Kent,4
Danai Gurira,5
Diego Luna,4
Robert Pattinson,5
Hugh Laurie,6
Fred Melamed,5
Sora Amamiya,1
Laura Dern,5
Jason Bateman,5
Dave Bautista,5
T.I.,5
Rafe Spall,6
Jon Favreau,5
Robbie Coltrane,6
Aya Hirano,1
Toru Okawa,1
Kana Ueda,1
Melanie Lynskey,5
Vanessa Hudgens,5
Jill Talley,4
Nana Mizuki,1
Michiel Huisman,6
James Hong,4
Vanessa Redgrave,6
Martin Short,5
Sunil Shetty,0
Bill Smitrovich,5
Boyd Holbrook,7
Oliver Platt,5
Thomas Jane,5
Keith Silverstein,1
Supriya Pathak,0
Kenyu Horiuchi,1
Ireti Doyle,3
Laverne Cox,5
Jake Johnson,5
Pamela Reed,5
Jason Mantzoukas,5
Paul Reiser,5
Ayako Kawasumi,1
Doug Jones,5
Lily Collins,5
Jeremy Lindsay Taylor,4
Marsha Stephanie Blake,5
Christina Ricci,5
Nobunaga Shimazaki,1
Ron Funches,5
Rupert Everett,6
Prem Chopra,0
David Theune,5
Alex Lawther,6
David Strathairn,5
Sola Sobowale,3
Wataru Hatano,1
Himani Shivpuri,0
Jennifer Jason Leigh,5
John Lithgow,6
Scott Porter,5
Imelda Staunton,6
Gael García Bernal,5
Satish Kaushik,0
Graham McTavish,4
