Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
James Franco,2,0.020202020202020204,0.00041228612657184083,0.022727272727272728,0.008079006424116426,0.07692307692307693,0.0013734924876767731,0.07441700960219479,0.2815436393542052
Seth Rogen,1,0.010101010101010102,0.0,0.015151515151515152,0.006716965709166849,0.038461538461538464,0.0,0.04961133973479652,0.22266022888042417
Ai Kayano,12,0.12121212121212122,0.00010749631961753172,0.18057963834530594,0.007942543017223903,0.46153846153846156,0.0003581138872541081,0.5912806539509536,0.27564408678245955
Fred Armisen,3,0.030303030303030304,0.0018314010827320492,0.2020509977827051,0.008757571912833679,0.11538461538461539,0.006101140608274305,0.6615853658536585,0.3108792163064397
Gulshan Grover,13,0.13131313131313133,0.0009610538469844526,0.20775149615275007,0.007899884449605068,0.5,0.003201660579903114,0.6802507836990594,0.2737998820389792
Vatsal Dubey,4,0.04040404040404041,0.0,0.04208754208754209,0.009654185154869566,0.15384615384615385,0.0,0.13780927704110146,0.3496413803060535
Rajesh Sharma,7,0.07070707070707072,0.003624105637144692,0.23253588516746412,0.004886626881679414,0.2692307692307692,0.012073367368809386,0.7614035087719297,0.14353146914358209
Fortune Feimster,2,0.020202020202020204,0.0,0.20143686101132913,0.013405376844789763,0.07692307692307693,0.0,0.6595744680851064,0.5118119803615624
Diana Kaarina,10,0.10101010101010102,0.005377389050858437,0.2238943488943489,0.013146538410173478,0.38461538461538464,0.017914266303555623,0.733108108108108,0.5006219405744876
Yashpal Sharma,14,0.14141414141414144,0.001562500660552478,0.2084048027444254,0.0076570715074359905,0.5384615384615384,0.005205324120662279,0.6823899371069182,0.26330265241496054
Kana Hanazawa,13,0.13131313131313133,0.004101986705423975,0.21872187218721875,0.01262031206112143,0.5,0.013665383240753053,0.7161716171617162,0.4778722519834986
Laura Bailey,8,0.08080808080808081,0.053063854915018235,0.2640347700108656,0.012659887765111155,0.3076923076923077,0.17677724617844479,0.8645418326693226,0.4795831791219007
Anil Kapoor,19,0.19191919191919193,0.002440192297567066,0.2445488091244549,0.011274159455138086,0.7307692307692307,0.008129271331692691,0.8007380073800737,0.4196757123437847
Debi Derryberry,3,0.030303030303030304,0.0,0.20454545454545456,0.008883453391822869,0.11538461538461539,0.0,0.6697530864197531,0.3163212935637569
Bruce Willis,2,0.020202020202020204,0.00037792894935752074,0.21038961038961038,0.004435798294724221,0.07692307692307693,0.0012590347803703753,0.6888888888888888,0.12404135813028534
Molly Shannon,4,0.04040404040404041,0.016560159417302274,0.1840909090909091,0.007562314412589011,0.15384615384615385,0.05516861492168372,0.6027777777777777,0.2592061369070638
Rajpal Yadav,21,0.21212121212121213,0.005110424379803839,0.24636701588374454,0.0159295173721031,0.8076923076923077,0.017024898588911704,0.8066914498141264,0.6209350051962492
Brian Drummond,11,0.11111111111111112,0.09788837953910061,0.2705009276437848,0.00915825000384591,0.4230769230769231,0.32610593775189695,0.8857142857142857,0.32820123336655205
Michela Luci,0,0.0,0.0,0.0,0.0015665796344647522,0.0,0.0,0.0,0.0
Alessandro Juliani,8,0.08080808080808081,0.004596922612404666,0.2231404958677686,0.013333922537687875,0.3076923076923077,0.015314215705167826,0.7306397306397305,0.5087228852640229
Danny Trejo,3,0.030303030303030304,0.007098656640283951,0.22541743970315398,0.0051514640264878255,0.11538461538461539,0.02364850752824912,0.738095238095238,0.15498084369993312
Priyanka Chopra,14,0.14141414141414144,0.0005719288727946735,0.20329057445621865,0.008928965312815318,0.5384615384615384,0.001905327294907287,0.6656441717791411,0.31828885378118243
Asrani,17,0.17171717171717174,0.0036177235478835495,0.24275724275724278,0.011411359359524944,0.6538461538461539,0.012052106038168094,0.7948717948717948,0.42560710499475546
Jackie Shroff,20,0.20202020202020204,0.00684401287464073,0.24545454545454545,0.012514159706775631,0.7692307692307693,0.022800185752173678,0.8037037037037036,0.4732830994089125
Saif Ali Khan,15,0.15151515151515152,0.010632705420992431,0.2409917355371901,0.008516111642032965,0.5769230769230769,0.03542185894258673,0.7890909090909091,0.3004404650395988
Kate Higgins,5,0.05050505050505051,0.004076278287781071,0.21657754010695188,0.011831611079848488,0.19230769230769232,0.01357973806322503,0.7091503267973855,0.4437753244015005
Maya Rudolph,6,0.06060606060606061,0.02454968941407628,0.23253588516746412,0.016339292689687708,0.23076923076923078,0.08178498332069456,0.7614035087719297,0.6386503113266183
Blossom Chukwujekwu,2,0.020202020202020204,0.00020614306328592042,0.020202020202020204,0.015224966283489119,0.07692307692307693,0.0006867462438383866,0.0661484529797287,0.5904760251560365
Miyuki Sawashiro,12,0.12121212121212122,0.003205710577236901,0.21800239234449764,0.007280947877444866,0.46153846153846156,0.010679523543787326,0.7138157894736843,0.24704216779760035
Jun Fukuyama,14,0.14141414141414144,0.01037462278011283,0.2216479173000912,0.009398881903296581,0.5384615384615384,0.034562080876816316,0.7257525083612039,0.338604172686148
Kari Wahlgren,11,0.11111111111111112,0.11224093547744651,0.2650909090909091,0.0055052595456552035,0.4230769230769231,0.37392012913445305,0.868,0.1702760449007933
Tinnu Anand,15,0.15151515151515152,0.003179778098774917,0.2409917355371901,0.010818620183012618,0.5769230769230769,0.010593131928695789,0.7890909090909091,0.3999819501433762
Yoshimasa Hosoya,12,0.12121212121212122,0.0006110110008828122,0.18989320135451943,0.007842580245786624,0.46153846153846156,0.0020355257320407915,0.6217765042979942,0.2713225207396589
Hiroshi Kamiya,13,0.13131313131313133,0.00579981166047763,0.21872187218721875,0.00789530814433317,0.5,0.01932152753196778,0.7161716171617162,0.27360204033070956
Mike Epps,4,0.04040404040404041,0.01931781356877483,0.23839110529758015,0.006313800992590908,0.15384615384615385,0.06435548058741024,0.7805755395683454,0.2052307106331921
Laurence Fishburne,3,0.030303030303030304,0.021300697109512278,0.23091542603737727,0.005948593912250878,0.11538461538461539,0.07096127076955026,0.7560975609756098,0.1894421676156735
Sanjay Mishra,14,0.14141414141414144,0.004628877762277933,0.23839110529758015,0.009766525713805221,0.5384615384615384,0.015420671284108753,0.7805755395683454,0.35449805982529026
Manoj Joshi,12,0.12121212121212122,0.00026558767282329433,0.23668831168831173,0.00887209916951108,0.46153846153846156,0.0008847803744344234,0.775,0.3158304306066827
Alfred Molina,3,0.030303030303030304,0.1376897668937462,0.28940055577610163,0.0037003211520524396,0.11538461538461539,0.45870051954215596,0.947598253275109,0.09224539049826828
Vijay Raaz,14,0.14141414141414144,0.0013876893868500914,0.23925172300623565,0.008115331444472705,0.5384615384615384,0.004622956789537449,0.7833935018050541,0.28311403373421934
Kristen Stewart,0,0.0,0.0,0.0,0.0015665796344647522,0.0,0.0,0.0,0.0
Sam Vincent,10,0.10101010101010102,0.009332513287459104,0.23253588516746412,0.006865770673361717,0.38461538461538464,0.03109039103025744,0.7614035087719297,0.22909332863364787
Manoj Bajpayee,13,0.13131313131313133,0.004941691026866547,0.23925172300623565,0.011061875150894981,0.5,0.016462779279666644,0.7833935018050541,0.4104982893147305
Tomokazu Sugita,12,0.12121212121212122,0.0006383405736669304,0.18989320135451943,0.011887422348564792,0.46153846153846156,0.0021265716355799713,0.6217765042979942,0.4461881434962706
Aamir Khan,12,0.12121212121212122,0.0034556353141140393,0.23668831168831173,0.007232817849706327,0.46153846153846156,0.011512124318981076,0.775,0.24496142223079267
Hassan Hosny,0,0.0,0.0,0.0,0.0015665796344647522,0.0,0.0,0.0,0.0
Robb Wells,0,0.0,0.0,0.0,0.0015665796344647522,0.0,0.0,0.0,0.0
Michael Palin,1,0.010101010101010102,0.0,0.015151515151515152,0.012808722035413599,0.038461538461538464,0.0,0.04961133973479652,0.48601754582958673
