Source,Target,Value
Hiroshi Kamiya,Takahiro Sakurai,1
Aamir Khan,Saif Ali Khan,1
Anil Kapoor,Priyanka Chopra,1
Aamir Khan,Priyanka Chopra,1
Priyanka Chopra,Shah Rukh Khan,2
Boman Irani,Shah Rukh Khan,5
Om Puri,Shah Rukh Khan,3
Kareena Kapoor,Priyanka Chopra,2
Om Puri,Priyanka Chopra,2
Kareena Kapoor,Om Puri,4
Boman Irani,Om Puri,2
Anupam Kher,Boman Irani,2
Boman Irani,Kay Kay Menon,1
Amitabh Bachchan,Om Puri,2
Aamir Khan,Nawazuddin Siddiqui,1
Kareena Kapoor,Nawazuddin Siddiqui,1
Jackie Shroff,Tinnu Anand,2
Kathleen Barr,Vincent Tong,11
Erin Mathews,Kathleen Barr,5
Brian Drummond,Erin Mathews,5
Andrea Libman,Kathleen Barr,7
Andrea Libman,Brian Drummond,4
Alessandro Juliani,Kathleen Barr,9
Alessandro Juliani,Brian Drummond,2
Diana Kaarina,Kathleen Barr,7
Brian Drummond,Diana Kaarina,2
Boman Irani,Pankaj Tripathi,2
Yoshimasa Hosoya,Yuichi Nakamura,1
Ashleigh Ball,Vincent Tong,3
Ashleigh Ball,Kathleen Barr,2
Ashleigh Ball,Brian Drummond,6
David Spade,Tara Strong,1
Nawazuddin Siddiqui,Saif Ali Khan,1
Radhika Apte,Saif Ali Khan,2
Grey Griffin,Tara Strong,1
Kari Wahlgren,Tara Strong,2
Ashleigh Ball,Erin Mathews,6
Miyuki Sawashiro,Tomokazu Sugita,2
Andrea Libman,Sam Vincent,5
Gulshan Grover,Kay Kay Menon,1
Kay Kay Menon,Yashpal Sharma,1
Asrani,Vijay Raaz,1
Kareena Kapoor,Yashpal Sharma,1
Fred Tatasciore,Laura Bailey,3
Mamoru Miyano,Tomokazu Sugita,4
John Cleese,Michael Palin,14
Jun Fukuyama,Tomokazu Sugita,2
Jackie Shroff,Kay Kay Menon,2
Asrani,Kay Kay Menon,1
Asrani,Jackie Shroff,2
Sanjay Mishra,Yashpal Sharma,3
Sam Vincent,Tara Strong,2
Ashleigh Ball,Sam Vincent,4
Kareena Kapoor,Paresh Rawal,2
Kareena Kapoor,Rajpal Yadav,1
Ajay Devgn,Paresh Rawal,2
Kay Kay Menon,Paresh Rawal,2
Kareena Kapoor,Manoj Bajpayee,2
Ajay Devgn,Amitabh Bachchan,2
Amitabh Bachchan,Manoj Bajpayee,3
Ajay Devgn,Manoj Bajpayee,3
Anupam Kher,Tinnu Anand,2
Gulshan Grover,Yashpal Sharma,1
Kareena Kapoor,Saif Ali Khan,1
Om Puri,Saif Ali Khan,1
Kay Kay Menon,Rajpal Yadav,1
Naseeruddin Shah,Rajpal Yadav,1
Kay Kay Menon,Naseeruddin Shah,1
Anil Kapoor,Saif Ali Khan,2
Aamir Khan,Sanjay Dutt,1
Boman Irani,Sanjay Dutt,1
Akshay Kumar,Radhika Apte,1
Naseeruddin Shah,Priyanka Chopra,1
Akshay Kumar,Sanjay Mishra,1
Asrani,Sanjay Mishra,1
Ajay Devgn,Naseeruddin Shah,1
Manoj Bajpayee,Naseeruddin Shah,2
Aamir Khan,Om Puri,1
Anupam Kher,Om Puri,1
Akshay Kumar,Yashpal Sharma,1
Om Puri,Tinnu Anand,3
Gulshan Grover,Sanjay Dutt,1
Anupam Kher,Naseeruddin Shah,3
Alessandro Juliani,Sam Vincent,2
Kathleen Barr,Sam Vincent,1
Rajpal Yadav,Shah Rukh Khan,2
Asrani,Shah Rukh Khan,1
Manoj Joshi,Shah Rukh Khan,1
Asrani,Rajpal Yadav,3
Asrani,Om Puri,1
Manoj Joshi,Om Puri,1
Asrani,Manoj Joshi,2
Naseeruddin Shah,Shah Rukh Khan,4
Boman Irani,Naseeruddin Shah,1
Amitabh Bachchan,Anupam Kher,2
Amitabh Bachchan,Rajpal Yadav,1
Paresh Rawal,Shah Rukh Khan,2
Grey Griffin,Keith David,1
Ajay Devgn,Om Puri,1
Ajay Devgn,Vijay Raaz,2
Kareena Kapoor,Vijay Raaz,1
Om Puri,Vijay Raaz,1
Gulshan Grover,Naseeruddin Shah,2
Amrish Puri,Naseeruddin Shah,2
Amrish Puri,Gulshan Grover,2
Debi Derryberry,Kate Higgins,9
David Spade,Fred Armisen,1
Ajay Devgn,Sanjay Mishra,1
Gulshan Grover,Jackie Shroff,3
Gulshan Grover,Saif Ali Khan,1
Erin Mathews,Sam Vincent,3
Brian Drummond,Sam Vincent,4
Amrish Puri,Shah Rukh Khan,2
Amrish Puri,Anupam Kher,1
Amrish Puri,Tinnu Anand,2
Nawazuddin Siddiqui,Shah Rukh Khan,1
Naseeruddin Shah,Tinnu Anand,1
Gulshan Grover,Tinnu Anand,1
Jackie Shroff,Shah Rukh Khan,2
Sanjay Mishra,Shah Rukh Khan,1
Pankaj Tripathi,Shah Rukh Khan,1
Pankaj Tripathi,Sanjay Mishra,2
Mamoru Miyano,Yoshimasa Hosoya,1
Jun Fukuyama,Yoshimasa Hosoya,1
Alessandro Juliani,Mamoru Miyano,1
Mamoru Miyano,Sam Vincent,1
Brian Drummond,Mamoru Miyano,1
Junichi Suwabe,Laura Bailey,1
Jun Fukuyama,Laura Bailey,1
Kate Higgins,Laura Bailey,10
Debi Derryberry,Laura Bailey,6
Adam Sandler,Danny Trejo,1
Danny Trejo,David Spade,1
Jackie Shroff,Naseeruddin Shah,1
Alfred Molina,Willem Dafoe,1
Anupam Kher,Willem Dafoe,1
Alfred Molina,Anupam Kher,1
Amitabh Bachchan,Saif Ali Khan,1
Amitabh Bachchan,Yashpal Sharma,1
Manoj Bajpayee,Saif Ali Khan,1
Saif Ali Khan,Yashpal Sharma,1
Manoj Bajpayee,Yashpal Sharma,1
Bruce Willis,Mike Epps,1
Tinnu Anand,Yashpal Sharma,1
Akshay Kumar,Priyanka Chopra,2
Akshay Kumar,Amrish Puri,2
Amrish Puri,Kareena Kapoor,3
Amrish Puri,Priyanka Chopra,2
Paresh Rawal,Priyanka Chopra,1
Amrish Puri,Paresh Rawal,1
Laurence Fishburne,Michael Peña,1
Rajpal Yadav,Yashpal Sharma,1
Rajpal Yadav,Vijay Raaz,3
Vijay Raaz,Yashpal Sharma,1
Diana Kaarina,Kate Higgins,1
Anil Kapoor,Kareena Kapoor,1
Anil Kapoor,Manoj Bajpayee,2
Jackie Shroff,Paresh Rawal,1
Jackie Shroff,Rajpal Yadav,1
Amitabh Bachchan,Gulshan Grover,1
Amitabh Bachchan,Jackie Shroff,2
Amitabh Bachchan,Boman Irani,1
Boman Irani,Gulshan Grover,1
Boman Irani,Jackie Shroff,1
Salman Khan,Sanjay Dutt,1
Manoj Bajpayee,Nawazuddin Siddiqui,1
Amitabh Bachchan,Asrani,1
Pankaj Tripathi,Rajesh Sharma,1
Ajay Devgn,Rajpal Yadav,1
Boman Irani,Rajpal Yadav,1
Boman Irani,Saif Ali Khan,1
Rajpal Yadav,Saif Ali Khan,1
Chris Rock,Keith David,1
Asrani,Sanjay Dutt,2
Nicolas Cage,Willem Dafoe,1
Molly Shannon,Morgan Freeman,1
Amrish Puri,Om Puri,3
Anil Kapoor,Anupam Kher,2
Paresh Rawal,Sanjay Dutt,1
Anupam Kher,Paresh Rawal,1
Anupam Kher,Asrani,1
Adam Sandler,Molly Shannon,1
David Spade,Molly Shannon,1
Fred Tatasciore,Kari Wahlgren,1
Anil Kapoor,Manoj Joshi,1
Ajay Devgn,Akshay Kumar,1
Akshay Kumar,Salman Khan,2
Asrani,Gulshan Grover,1
Jackie Shroff,Sanjay Dutt,2
Anupam Kher,Jackie Shroff,2
Anupam Kher,Saif Ali Khan,1
Amitabh Bachchan,Anil Kapoor,1
Ajay Devgn,Anil Kapoor,2
Ajay Devgn,Jackie Shroff,1
Ajay Devgn,Anupam Kher,1
Anil Kapoor,Jackie Shroff,2
Jackie Shroff,Manoj Bajpayee,1
Rajpal Yadav,Salman Khan,2
Naseeruddin Shah,Om Puri,1
Erin Fitzgerald,Kate Higgins,10
Erin Fitzgerald,Laura Bailey,9
Amrish Puri,Rajpal Yadav,1
Priyanka Chopra,Rajpal Yadav,1
Amrish Puri,Salman Khan,1
Priyanka Chopra,Salman Khan,1
Diana Kaarina,Tara Strong,1
Anil Kapoor,Salman Khan,1
Anil Kapoor,Boman Irani,2
Boman Irani,Salman Khan,1
Akshay Kumar,Tinnu Anand,1
Kay Kay Menon,Pankaj Tripathi,1
Jackie Shroff,Pankaj Tripathi,1
Om Puri,Sanjay Dutt,1
Jackie Shroff,Om Puri,1
Keith David,Willem Dafoe,1
Anil Kapoor,Om Puri,1
Bruce Willis,Samuel L. Jackson,1
Ben Kingsley,Laurence Fishburne,1
Shah Rukh Khan,Vijay Raaz,1
Amrish Puri,Anil Kapoor,1
Amitabh Bachchan,Ben Kingsley,1
Ajay Devgn,Boman Irani,1
Fred Armisen,Molly Shannon,1
Fred Tatasciore,Keith David,1
Anil Kapoor,Shah Rukh Khan,1
Anil Kapoor,Tinnu Anand,1
Maya Rudolph,Samuel L. Jackson,1
Maya Rudolph,Michael Peña,1
Michael Peña,Samuel L. Jackson,1
Gulshan Grover,Om Puri,1
Michael Peña,Nicolas Cage,1
Danny Trejo,Samuel L. Jackson,1
Samuel L. Jackson,Willem Dafoe,1
Anupam Kher,Vijay Raaz,1
Jackie Shroff,Kareena Kapoor,1
Amrish Puri,Jackie Shroff,1
