Director,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Koichi Mashimo,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Yasushi Muraki,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Daisuke Nishio,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Frank O'Connor,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Koji Sawai,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Joseph Chou,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Hiroshi Yamazaki,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Will Graham,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Steve Carr,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Griffin Dunne,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Steve Brill,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
James Duffy,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Jonathan van Tulleken,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Elizabeth Banks,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Patrik Forsberg,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Brett Ratner,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
James Gunn,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Masaru Matsumoto,10,0.10101010101010102,0.022263450834879406,0.13920454545454547,0.010635755492781633,0.42105263157894735,0.9818181818181818,0.6200657894736842,0.17871761641428496
Nuhash Humayun,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Syed Ahmed Shawki,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Rahat Rahman,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Robiul Alam Robi,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Golam Kibria Farooki,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Mir Mukarram Hossain,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Tanvir Ahsan,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Mahmudul Islam,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Abdullah Al Noor,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Krishnendu Chattopadhyay,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Syed Saleh Ahmed Sobhan,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Hemant Gaba,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Pratim D. Gupta,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Sudhish Kamath,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Nalan Kumarasamy,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Anu Menon,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Sandeep Mohan,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Qaushiq Mukherjee,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Rajshree Ojha,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Raja Sen,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Abhinav Shiv Tiwari,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Suparn Verma,10,0.10101010101010102,0.0,0.10101010101010101,0.01,0.42105263157894735,0.0,0.4210526315789473,0.10539629317783433
Priyadarshan,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Jumpei Mizusaki,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Koji Morimoto,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Michael Arias,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Arthell Isom,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Henry Thurlow,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Takanobu Mizuno,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Elsa Nakamichi,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Hajime Sasaki,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Shinji Takagi,9,0.09090909090909091,0.0,0.10123966942148761,0.009838755762999949,0.3684210526315789,0.0,0.4222488038277512,0.08680008605838377
Mahin Ibrahim,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Austin Kolodney,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Will Lowell,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
David Beier,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
Dave Dorsey,9,0.09090909090909091,0.0,0.09090909090909091,0.01,0.3684210526315789,0.0,0.3684210526315789,0.10539629317783433
