Source,Target,Value
Jun Fukuyama,Kazuhiko Inoue,1
Jun Fukuyama,Kenjiro Tsuda,2
Kaito Ishikawa,Katsuyuki Konishi,2
Katsuyuki Konishi,Kenjiro Tsuda,1
Katsuyuki Konishi,Takahiro Sakurai,3
Kazuhiko Inoue,Yoko Hikasa,1
Eri Kitamura,Kazuhiko Inoue,1
Kaito Ishikawa,Kazuhiko Inoue,1
Kazuhiko Inoue,Kenjiro Tsuda,1
Eri Kitamura,Yoko Hikasa,1
Kenjiro Tsuda,Yoko Hikasa,1
Takahiro Sakurai,Yoko Hikasa,2
Eri Kitamura,Kaito Ishikawa,1
Eri Kitamura,Kenjiro Tsuda,1
Eri Kitamura,Takahiro Sakurai,2
Kaito Ishikawa,Kenjiro Tsuda,2
Kenjiro Tsuda,Takahiro Sakurai,3
Kari Wahlgren,Tony Hale,2
Katsuyuki Konishi,Yoshitsugu Matsuoka,1
Ben Kingsley,Chloë Grace Moretz,1
Kana Hanazawa,Yoshimasa Hosoya,3
Takahiro Sakurai,Yoshimasa Hosoya,5
Ai Kayano,Yoshimasa Hosoya,3
Tomokazu Sugita,Yoshimasa Hosoya,3
Kana Hanazawa,Tomokazu Sugita,6
Ai Kayano,Tomokazu Sugita,4
Yoko Hikasa,Yoshitsugu Matsuoka,3
Yoshimasa Hosoya,Yoshitsugu Matsuoka,1
Nobuhiko Okamoto,Yoko Hikasa,1
Saori Hayami,Yoko Hikasa,1
Yoko Hikasa,Yoshimasa Hosoya,1
Nobuhiko Okamoto,Saori Hayami,2
Nobuhiko Okamoto,Yoshimasa Hosoya,4
Saori Hayami,Yoshimasa Hosoya,1
Rie Kugimiya,Yoshitsugu Matsuoka,2
Ai Kayano,Yoko Hikasa,3
Ai Kayano,Miyuki Sawashiro,2
Ai Kayano,Rie Kugimiya,2
Miyuki Sawashiro,Yoko Hikasa,2
Rie Kugimiya,Yoko Hikasa,2
Miyuki Sawashiro,Rie Kugimiya,3
Kenjiro Tsuda,Mamoru Miyano,2
Kana Hanazawa,Saori Hayami,3
Saori Hayami,Takahiro Sakurai,4
Saori Hayami,Yuichi Nakamura,2
