id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Laurence Fishburne,"Australia, Canada, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic Movies, Comedies, Docuseries, Dramas, Horror Movies, Sci-Fi & Fantasy, TV Horror, TV Mysteries, TV Thrillers, Thrillers",4,0.2608695652173913,0.24894714995201517,0.43819811875367426,0.06834117191837641
Anime Features,,"Jim Broadbent, Yuki Kaji",3,0.021739130434782608,0.022159334946896654,0.06442307692307704,0.0017470276603397965
TV Sci-Fi & Fantasy,,"Fred Tatasciore, Gary Cole, Helena Bonham Carter, J.K. Simmons, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Keegan-Michael Key, Kiernan Shipka, Ron Perlman, Steven Yeun, Susan Sarandon",2,0.2391304347826087,0.22779864590337123,0.24532828282828295,0.042493041838925626
Thrillers,,"Alfonso Herrera, Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Edgar Ramírez, Emma Roberts, Gary Cole, Guy Pearce, Helen Mirren, Jim Broadbent, John Leguizamo, Johnny Depp, Kiernan Shipka, Laura Linney, Laurence Fishburne, Martin Sheen, Mike Vogel, Morgan Freeman, Nicholas Hoult, Penélope Cruz, Radhika Apte, Ron Perlman, Sam Neill, Samuel L. Jackson, Terry Crews",3,0.5869565217391305,0.577898895498015,0.5227840199750312,0.26356295971804505
Keegan-Michael Key,"Canada, United Kingdom, United States","Children & Family Movies, Comedies, Dramas, Faith & Spirituality, Independent Movies, Kids' TV, LGBTQ Movies, Music & Musicals, Romantic Movies, Romantic TV Shows, TV Action & Adventure, TV Comedies, TV Dramas, TV Sci-Fi & Fantasy",2,0.2826086956521739,0.274047522172345,0.45283719548425433,0.13738754395423972
TV Comedies,,"Antonio Banderas, Anupam Kher, Bob Balaban, Chris O'Dowd, Gary Cole, Helen Mirren, Hugh Bonneville, Jason Schwartzman, Jay Baruchel, John Cleese, Keegan-Michael Key, Keith David, Kiernan Shipka, Mae Whitman, Martin Sheen, Michael Palin, Steven Yeun, Susan Sarandon",2,0.3695652173913043,0.35899018392092696,0.33755446623093693,0.1655842640894108
Romantic Movies,,"Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Chris O'Dowd, Emma Roberts, Guy Pearce, Helen Mirren, J.K. Simmons, James Cromwell, Jay Baruchel, Joe Pantoliano, Johnny Depp, Keegan-Michael Key, Keith David, Mae Whitman, Martin Sheen, Mike Vogel, Nicholas Hoult, Radhika Apte, Yuki Kaji",0,0.45652173913043476,0.4470358217568327,0.43099415204678365,0.19700508627791033
Sam Neill,"Australia, Canada, France, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Dramas, Horror Movies, Independent Movies, International Movies, International TV Shows, Sci-Fi & Fantasy, Thrillers",3,0.2608695652173913,0.2370127814649789,0.43819811875367426,0.06985606092722868
International TV Shows,,"Alfonso Herrera, Anupam Kher, Ben Kingsley, Ben Whishaw, Chris O'Dowd, Guy Pearce, Hugh Bonneville, Jay Baruchel, Jim Broadbent, John Cleese, Michael Palin, Nicholas Hoult, Radhika Apte, Richard Armitage, Sam Neill, Stephanie Sheh, Yuki Kaji",3,0.34782608695652173,0.3511442221179965,0.4029209621993127,0.14731421259442473
Morgan Freeman,"Canada, South Korea, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Documentaries, Docuseries, Dramas, Faith & Spirituality, Independent Movies, Sci-Fi & Fantasy, Sports Movies, Thrillers",4,0.21739130434782608,0.20441244766607097,0.40983016695451935,0.08450793335763145
