id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,Community,country,genres_list
TV Comedies,18,0.43137254901960786,0.013768381052773103,0.014600441639973098,0.3695652173913043,0.33755446623093693,0.35899018392092696,0.1655842640894108,2,,"Antonio Banderas, Anupam Kher, Bob Balaban, Chris O'Dowd, Gary Cole, Helen Mirren, Hugh Bonneville, Jason Schwartzman, Jay Baruchel, John Cleese, Keegan-Michael Key, Keith David, Kiernan Shipka, Mae Whitman, Martin Sheen, Michael Palin, Steven Yeun, Susan Sarandon"
Romantic Movies,22,0.4631578947368421,0.016515021711432668,0.017370981963753158,0.45652173913043476,0.43099415204678365,0.4470358217568327,0.19700508627791033,0,,"Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Chris O'Dowd, Emma Roberts, Guy Pearce, Helen Mirren, J.K. Simmons, James Cromwell, Jay Baruchel, Joe Pantoliano, Johnny Depp, Keegan-Michael Key, Keith David, Mae Whitman, Martin Sheen, Mike Vogel, Nicholas Hoult, Radhika Apte, Yuki Kaji"
Sam Neill,13,0.4656084656084656,0.009963217034907804,0.0061595789091146635,0.2608695652173913,0.43819811875367426,0.2370127814649789,0.06985606092722868,3,"Australia, Canada, France, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Dramas, Horror Movies, Independent Movies, International Movies, International TV Shows, Sci-Fi & Fantasy, Thrillers"
International TV Shows,17,0.4536082474226804,0.013523621196136225,0.012989474425915791,0.34782608695652173,0.4029209621993127,0.3511442221179965,0.14731421259442473,3,,"Alfonso Herrera, Anupam Kher, Ben Kingsley, Ben Whishaw, Chris O'Dowd, Guy Pearce, Hugh Bonneville, Jay Baruchel, Jim Broadbent, John Cleese, Michael Palin, Nicholas Hoult, Radhika Apte, Richard Armitage, Sam Neill, Stephanie Sheh, Yuki Kaji"
Morgan Freeman,11,0.45595854922279794,0.008946228521918256,0.0074515121100915,0.21739130434782608,0.40983016695451935,0.20441244766607097,0.08450793335763145,4,"Canada, South Korea, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Documentaries, Docuseries, Dramas, Faith & Spirituality, Independent Movies, Sci-Fi & Fantasy, Sports Movies, Thrillers"
Anime Series,4,0.36065573770491804,0.004780099193633227,0.0012736157221824604,0.06521739130434782,0.12966757741347915,0.07086402994376803,0.01444413308107814,3,,"Fred Tatasciore, Richard Armitage, Stephanie Sheh, Yuki Kaji"
Stephen Fry,11,0.45595854922279794,0.010229105772215828,0.014365369667312925,0.21739130434782608,0.40983016695451935,0.24553604547327237,0.16291830229450086,3,"Italy, Spain, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Documentaries, Dramas, International Movies, Kids' TV, Movies, Sci-Fi & Fantasy, Spanish-Language TV Shows"
Laura Linney,12,0.4607329842931937,0.009492483797901336,0.0068963746206487766,0.2391304347826087,0.4238656195462478,0.22192307252466859,0.07821209416834608,1,"Australia, Spain, United Kingdom, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Documentaries, Dramas, Independent Movies, LGBTQ Movies, TV Dramas, TV Thrillers, Thrillers"
Ben Whishaw,13,0.4656084656084656,0.010075362816306424,0.010310067243006763,0.2608695652173913,0.43819811875367426,0.24060769906831267,0.11692693544773904,3,"Australia, France, Japan, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, International Movies, International TV Shows, Music & Musicals, Romantic Movies, Thrillers"
Docuseries,9,0.38596491228070173,0.007837210691334362,0.004132197472191093,0.17391304347826086,0.2040692007797271,0.16886204468295765,0.04686343703683654,4,,"Bob Balaban, Hugh Bonneville, James Cromwell, John Cleese, Keith David, Laurence Fishburne, Michael Palin, Morgan Freeman, Samuel L. Jackson"
Sports Movies,11,0.4,0.009122330159623404,0.002816770852875678,0.21739130434782608,0.24532828282828295,0.21005751847896148,0.031945124694377436,3,,"Alison Pill, Ben Kingsley, Gary Cole, Jay Baruchel, Joe Pantoliano, John Leguizamo, Morgan Freeman, Nicholas Hoult, Ron Perlman, Samuel L. Jackson, Sylvester Stallone"
TV Mysteries,9,0.3963963963963964,0.007838620022795326,0.002070539757920903,0.17391304347826086,0.2347347347347348,0.1689072218658598,0.023482084346308253,1,,"Alfonso Herrera, Alison Pill, Emma Roberts, James Cromwell, Jason Isaacs, Joe Pantoliano, John Leguizamo, Kiernan Shipka, Laurence Fishburne"
Independent Movies,39,0.5789473684210527,0.028012806961177656,0.04957249372601763,0.8260869565217391,0.7713815789473685,0.8156059995929501,0.5622038767804484,2,,"Alfonso Herrera, Alison Pill, Anupam Kher, Ben Whishaw, Chris O'Dowd, Edgar Ramírez, Emma Roberts, Fred Tatasciore, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, James Cromwell, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Jim Broadbent, Joe Pantoliano, John Leguizamo, Johnny Depp, Keegan-Michael Key, Keith David, Kiernan Shipka, Laura Linney, Mae Whitman, Martin Sheen, Michael Palin, Mike Vogel, Morgan Freeman, Nicholas Hoult, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Samuel L. Jackson, Steven Yeun, Susan Sarandon, Terry Crews"
Ron Perlman,16,0.4808743169398907,0.011982873393769146,0.015796104669201286,0.32608695652173914,0.4830752884031572,0.3017543892776557,0.17914433218020248,2,"Canada, France, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Horror Movies, Independent Movies, International Movies, Kids' TV, Sci-Fi & Fantasy, Sports Movies, TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy, Thrillers"
