Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Dennis Quaid,52,0.05205205205205205,0.0026057924858951063,0.3837355080050834,0.0015434172552433172,0.5098039215686274,0.027455617805581815,0.9193611219322165,0.435193824951456
Adam Sandler,48,0.04804804804804805,0.0016495026878749959,0.3646979078300811,0.002320184166951444,0.47058823529411764,0.01737978584738264,0.8737504627915587,0.6778391216464973
Nicolas Cage,43,0.043043043043043044,0.0029151944963389472,0.3775580870253159,0.001332402175155574,0.4215686274509804,0.03071559471970923,0.9045611345343044,0.3692772469622822
Willem Dafoe,36,0.036036036036036036,0.01110785777406267,0.3924498203382666,0.0011249342452257368,0.35294117647058826,0.11703660185306937,0.9402390438247012,0.30446872248248663
Daisuke Ono,87,0.08708708708708708,0.007935461928876304,0.30811668722209856,0.002857167170070293,0.8529411764705882,0.08361103618545898,0.7381920550516109,0.8455810763410438
Joan Cusack,55,0.055055055055055056,0.004132459261287572,0.379741345045894,0.001636874988512863,0.5392156862745098,0.04354115789695148,0.9097918272937549,0.46438801316393735
Elizabeth Banks,77,0.07707707707707707,0.0038382378103406236,0.4038741488515986,0.00232426750536739,0.7549019607843137,0.040441129114487516,0.967609676096761,0.6791146688492801
Bobby Cannavale,79,0.07907907907907907,0.005318501285767682,0.40403980682897833,0.002165680976018808,0.7745098039215687,0.056037746440263145,0.9680065627563578,0.6295756438398282
Chris Parnell,51,0.05105105105105105,0.0054922886783615454,0.38903990878714423,0.0014639824241074048,0.5,0.05786883631265822,0.9320695102685626,0.4103800901252531
Kari Wahlgren,55,0.055055055055055056,0.060672370873514195,0.3944930112330993,0.001823855252060506,0.5392156862745098,0.6392671078293894,0.9451341609931918,0.522796630782401
Liev Schreiber,74,0.07407407407407407,0.0049167240429581266,0.39767825960801334,0.0022572607535084055,0.7254901960784313,0.05180446904719769,0.9527654420670165,0.658183199008938
Kevin Michael Richardson,42,0.04204204204204204,0.004702593807121806,0.3888863201930711,0.0015499357275318623,0.4117647058823529,0.04954831167950092,0.9317015396762732,0.43723005566444334
Kay Kay Menon,33,0.03303303303303303,0.0002014900233557074,0.23996322753935423,0.0011102779727946539,0.3235294117647059,0.002122975295552657,0.5749086479902558,0.2998904178213584
John Travolta,44,0.044044044044044044,0.005340684210085807,0.38659695802552946,0.0013399925010414218,0.43137254901960786,0.056271474143134846,0.9262166405023547,0.37164830171348623
Molly Shannon,66,0.06606606606606606,0.004743324205597484,0.39623855553059095,0.0023855836187943987,0.6470588235294118,0.04997746260370935,0.9493161705551086,0.6982685054898833
Mamoru Miyano,72,0.07207207207207207,0.009573301812410168,0.32275525853507503,0.0020291534098654516,0.7058823529411765,0.1008679383035099,0.7732634338138925,0.5869273650614694
Keith David,39,0.03903903903903904,0.013682971396582625,0.391825397394212,0.001262727718975797,0.38235294117647056,0.1441689755200265,0.9387430389817024,0.347512443599803
Jim Broadbent,42,0.04204204204204204,0.002349563416892621,0.3686560812309315,0.001334332140359783,0.4117647058823529,0.024755891166836925,0.8832335329341316,0.3698801266325254
Terrence Howard,63,0.06306306306306306,0.007179893496050075,0.4075502892217828,0.0018292084652637179,0.6176470588235294,0.07565008064892728,0.9764170459247,0.5244688595892496
Morgan Freeman,39,0.03903903903903904,0.002303691697301805,0.37369083803074704,0.0012452398608030052,0.38235294117647056,0.024272569333656627,0.8952959028831564,0.3420496123811474
Laura Linney,40,0.04004004004004004,0.0030140766916445677,0.3604277530366078,0.0012895870376531814,0.39215686274509803,0.0317574550277665,0.8635199414562752,0.3559027177621884
Ai Kayano,69,0.06906906906906907,0.0008528099532731109,0.2745398687427673,0.001765809136926774,0.6764705882352942,0.008985529072097088,0.6577480490523969,0.5046642713624476
Kana Hanazawa,80,0.08008008008008008,0.007225968638871519,0.30744352342354836,0.002095034311072491,0.7843137254901961,0.07613554582640807,0.7365792759051185,0.6075071433436904
Jon Hamm,72,0.07207207207207207,0.005901012036694365,0.39719719719719726,0.0019625873735046495,0.7058823529411765,0.06217530061299755,0.9516129032258066,0.5661335652753002
Justin Long,68,0.06806806806806806,0.005477256518282301,0.3954432151943192,0.0019232593210328115,0.6666666666666666,0.05771045177353546,0.9474106784423927,0.5538483265291202
Rob Riggle,58,0.058058058058058054,0.0031795316051051524,0.38583981553037566,0.001870963062304716,0.5686274509803921,0.033500750740152824,0.9244026635330983,0.5375120987317555
