Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm,Community_Louvain
Johnny Depp,39,0.039039039039039,0.0023140383733352,0.3761164753910077,0.0013725602310144,0.3823529411764705,0.0243815858360337,0.9011072928598702,0.3818217609364138,5
Paul Rudd,64,0.064064064064064,0.0033382638233144,0.3954432151943192,0.0021118584965833,0.6274509803921569,0.0351732135859771,0.9474106784423928,0.6127626574797905,5
James Marsden,48,0.048048048048048,0.0060149766624817,0.3795950092674563,0.0014868904406196,0.4705882352941176,0.0633760751282025,0.9094412331406552,0.4175360623732166,5
Fumiko Orikasa,53,0.053053053053053,0.0006319195879769,0.2724893634990454,0.00110802209947,0.5196078431372549,0.0066581444168209,0.65283540802213,0.2991857314554595,1
Halle Berry,57,0.057057057057057,0.0031984460537625,0.3899639940811754,0.0016656225148212,0.5588235294117647,0.0337000405439845,0.934283452098179,0.4733681228277464,2
Yuri Lowenthal,45,0.045045045045045,0.0330089441298676,0.3617513951704183,0.0011597760146788,0.4411764705882353,0.3477947530745663,0.8666911494674991,0.3153525427880484,4
Sarah Silverman,43,0.043043043043043,0.0010923534565809,0.3651034281130649,0.0012672975289362,0.4215686274509804,0.0115094502631475,0.8747220163083766,0.3489399540627077,5
Helen Mirren,45,0.045045045045045,0.0158646183199063,0.4005892838751724,0.0014235225175996,0.4411764705882353,0.1671556348329704,0.9597397315982108,0.3977412844927491,6
Yashpal Sharma,36,0.036036036036036,0.0002012946750372,0.240138724780363,0.0011960307252224,0.3529411764705882,0.0021209170315893,0.5753291077523159,0.3266777355374267,0
Priyanka Chopra,37,0.037037037037037,0.0151208882074381,0.306677786129841,0.0012676333098935,0.3627450980392157,0.1593194123290833,0.7347447073474472,0.3490448448205154,0
Pierce Brosnan,33,0.033033033033033,0.0035888754048957,0.3567725639438787,0.0013330967901943,0.3235294117647059,0.0378137522469768,0.8547627671133649,0.3694942297786727,5
John Goodman,38,0.038038038038038,0.0046658527598358,0.3926062371658226,0.0011579215301387,0.3725490196078431,0.0491611940722781,0.9406137903547228,0.3147732416557886,4
Oprah Winfrey,33,0.033033033033033,0.0027425880257955,0.3769801182736506,0.0010695245853517,0.3235294117647059,0.0288969474898692,0.9031764255644852,0.2871599350492986,4
Gulshan Grover,28,0.028028028028028,0.0002348285571912,0.2652973469025179,0.0009987075517147,0.2745098039215686,0.0024742427307539,0.6356046323727444,0.2650382150340518,0
Mark Strong,43,0.043043043043043,0.0019318832623396,0.37171662228266,0.0013093817050335,0.4215686274509804,0.0203550546649071,0.8905660377358491,0.3620861466223792,6
Topher Grace,48,0.048048048048048,0.0094273920809277,0.4055368666319675,0.0014880576182919,0.4705882352941176,0.0993305780404111,0.9715932482503088,0.4179006636046888,4
Natsuki Hanae,60,0.06006006006006,0.0002201815438482,0.2647981314647981,0.0014903293756846,0.5882352941176471,0.0023199162437007,0.6344086021505376,0.4186103118122425,1
