Actor,Degree,Appearances
Jon Bernthal,87,8
Maxi Iglesias,87,7
Jessica Alba,87,9
Keiji Fujiwara,87,8
Catherine O'Hara,87,9
Kevin Hart,87,13
Wyatt Russell,87,5
Rob Corddry,87,9
Rhys Darby,87,7
Steve Coogan,87,11
Benicio Del Toro,87,5
John DiMaggio,87,9
Michael Chiklis,87,5
André Holland,87,6
Irrfan Khan,87,14
Deon Cole,87,8
Ben Schwartz,87,8
Eddie Marsan,87,10
Jenny Slate,87,9
Nicholas Hoult,87,8
Tomoaki Maeno,86,6
Alan Cumming,86,10
Eddie Izzard,86,7
Brian Drummond,86,17
Stephen Root,86,8
Heather Graham,86,8
Stephen Lang,86,11
Missi Pyle,86,8
Zach Galifianakis,86,10
Patrick Wilson,86,10
Toby Kebbell,86,5
Mary Steenburgen,86,7
Anika Noni Rose,86,4
Shahid Kapoor,86,13
Maria Bello,85,10
J.K. Simmons,85,9
Snoop Dogg,85,8
Sigourney Weaver,85,7
Richard Jenkins,85,9
Method Man,85,6
Eddie Murphy,85,12
Courtney B. Vance,85,6
Maurice LaMarche,85,7
Jason Sudeikis,85,7
Lacey Chabert,85,9
Ryo Hirohashi,85,6
Sacha Baron Cohen,85,9
Evan Peters,85,6
Satomi Sato,85,7
John Carroll Lynch,85,10
James Fox,85,8
Matthew Mercer,85,6
Takuma Terashima,84,6
Ryan Phillippe,84,7
Cassandra Morris,84,13
Winona Ryder,84,6
Kate Bosworth,84,6
Becky Ann Baker,84,5
Russell Peters,84,10
Chloë Sevigny,84,5
Jimmy Shergill,84,12
Jack Whitehall,83,9
Johny Lever,83,11
Bryan Cranston,83,6
Demet Akbağ,83,14
Aasif Mandvi,83,6
Mario Casas,83,11
Jodie Whittaker,83,4
Giancarlo Esposito,82,9
Jennifer Coolidge,82,9
Kristin Scott Thomas,82,8
Mohnish Bahl,82,13
Bob Balaban,82,8
Prakash Raj,82,10
Manoj Pahwa,82,10
Frank Grillo,82,11
Josh Duhamel,82,8
Alice Eve,82,4
Konkona Sen Sharma,82,11
Michael Kelly,82,4
Saurabh Shukla,82,12
